timestamp_sec,faces_detected,emotion_anger,emotion_disgust,emotion_fear,emotion_happiness,emotion_sadness,emotion_surprise,emotion_neutral
0.0,1,0.6985313296318054,0.2901735007762909,0.002225736156105995,0.002462259493768215,0.005473783239722252,0.0004580247914418578,0.00067541265161708
1.0,1,0.5757613182067871,0.3979779779911041,0.0015480665024369955,0.011897541582584381,0.011403623968362808,0.0006349621107801795,0.0007765545742586255
2.0,1,0.24614794552326202,0.6937181949615479,0.0024097843561321497,0.033857312053442,0.022037861868739128,0.000784576463047415,0.0010443601058796048
3.0,1,0.7799400687217712,0.14677897095680237,0.005003404803574085,0.016168640926480293,0.049367740750312805,0.001920425216667354,0.0008207769715227187
4.0,1,0.06361168622970581,0.93233722448349,0.0003051298263017088,0.0010687411995604634,0.0018533897818997502,0.00010648558236425743,0.0007173598278313875
5.0,1,0.8363294005393982,0.05593794211745262,0.009723004885017872,0.017818808555603027,0.07352681457996368,0.005181341432034969,0.0014827316626906395
6.0,1,0.12093259394168854,0.25139638781547546,0.002421306911855936,0.5982314348220825,0.020572450011968613,0.005098776891827583,0.0013470781268551946
7.0,1,0.21555519104003906,0.4953799843788147,0.006741791032254696,0.0240020714700222,0.15099065005779266,0.08973971754312515,0.017590636387467384
8.0,1,0.006010227836668491,0.7857358455657959,0.0004743371973745525,0.18038058280944824,0.00685582309961319,0.0003596693277359009,0.020183486863970757
9.0,1,0.11083117872476578,0.7053502798080444,0.003192086238414049,0.1298374980688095,0.04669531434774399,0.0006923189503140748,0.003401273163035512
10.0,1,0.007899438962340355,0.06683304905891418,0.011159038171172142,0.14370833337306976,0.7086585164070129,0.00014132251089904457,0.061600226908922195
11.0,1,0.044108130037784576,0.801778256893158,0.003272805828601122,0.1294940859079361,0.011237413622438908,0.0075316354632377625,0.0025777912233024836
12.0,1,0.0011218065628781915,0.052028194069862366,0.0009301509126089513,0.9395302534103394,0.0019905364606529474,0.0038775436114519835,0.0005215086857788265
13.0,1,0.003942541312426329,0.05690518394112587,0.004768946673721075,0.8880266547203064,0.037000931799411774,0.0010770211229100823,0.008278659544885159
14.0,1,0.024466322734951973,0.8923292756080627,0.0006259126821532845,0.07490335404872894,0.006789166014641523,0.00022642500698566437,0.0006595693412236869
15.0,1,0.009649934247136116,0.9835211038589478,0.00021002280118409544,0.0014651675010100007,0.003954899497330189,6.310635944828391e-05,0.0011357591720297933
16.0,1,0.02020280621945858,0.9625364542007446,0.0014459816738963127,0.0036942753940820694,0.011025572195649147,0.000354994204826653,0.0007398329908028245
17.0,1,0.029129160568118095,0.05238357186317444,0.005096564069390297,0.043276816606521606,0.14018818736076355,0.49864712357521057,0.23127855360507965
18.0,1,0.1608564257621765,0.8296005725860596,0.001066104625351727,0.003991265781223774,0.0028953789733350277,0.0009947275975719094,0.000595555582549423
19.0,1,0.0006404221639968455,0.02724253386259079,0.0001929971040226519,0.969658613204956,0.0019077938050031662,0.00018563499907031655,0.00017190024664159864
20.0,1,0.02686198800802231,0.014587108045816422,0.0011908126762136817,0.9271702170372009,0.006694505922496319,0.023188281804323196,0.0003070771344937384
21.0,1,0.015500676818192005,0.07621866464614868,0.0017915781354531646,0.8889049887657166,0.013371113687753677,0.003459653351455927,0.0007533609168604016
22.0,1,0.002232807455584407,0.002570604905486107,0.0007929014973342419,0.9714240431785583,0.0029788855463266373,0.019696468487381935,0.00030433828942477703
23.0,1,0.07973296195268631,0.880466639995575,0.00374254840426147,0.021054310724139214,0.01304540503770113,0.001238165539689362,0.0007199352839961648
24.0,1,0.10450144857168198,0.8555083870887756,0.0045381225645542145,0.01093307975679636,0.020531533285975456,0.0026496448554098606,0.001337851514108479
25.0,1,0.2258717566728592,0.020745383575558662,0.01156776212155819,0.27403149008750916,0.12738652527332306,0.17215296626091003,0.1682441383600235
26.0,1,0.03690556436777115,0.9507326483726501,0.0019516968168318272,0.006262206472456455,0.00340511673130095,0.00046974606812000275,0.000273175974143669
27.0,1,0.005537976045161486,0.0005173794343136251,0.00010364017362007871,0.8881756663322449,0.020673761144280434,0.0006708889850415289,0.08432067185640335
28.0,1,0.35470905900001526,0.6313185095787048,0.002314419485628605,0.0035041954834014177,0.006396332290023565,0.0010536694899201393,0.0007037726463750005
29.0,1,0.06371428072452545,0.0015808908501639962,0.002105619292706251,0.23358072340488434,0.021659553050994873,0.41951867938041687,0.25784024596214294
30.0,1,0.005528226029127836,0.0042725782841444016,0.00019085560052189976,0.872467577457428,0.024945253506302834,0.0004546056443359703,0.09214089810848236
31.0,1,0.13078349828720093,0.8452120423316956,0.0008325781091116369,0.011686171405017376,0.009151410311460495,0.0012564805801957846,0.0010779473232105374
32.0,1,0.0012944949558004737,0.0005699943867512047,9.667362610343844e-05,0.9550845623016357,0.028065653517842293,9.256192424800247e-05,0.014796017669141293
