question,positive_sum,negative_sum,total_frames,faces_detected,emotion_happiness,emotion_surprise,emotion_neutral,emotion_anger,emotion_disgust,emotion_fear,emotion_sadness
1,0.6867278271004986,0.31327215091205907,29,29,0.39485789770421026,0.008628584965631913,0.2832413444306565,0.1328001442044955,0.005496656958084987,0.005386735237372101,0.16958861451210644
2,0.11375780386504161,0.8862421912095328,32,32,0.02024962093884137,0.06765772626073382,0.025850456665466433,0.1808658223599195,0.5903807104041334,0.008793159902381786,0.10620249854309802
3,0.37939845597407607,0.6206015540076556,33,33,0.3114470588889989,0.03830235288279994,0.02964904420227724,0.15178311114714504,0.4170983435240377,0.002849466089559592,0.048870633246913285
